,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for,Immediate possession
644,"2 BHK in Diya flats, Madipakkam","Vaigai Street, Ram Nagar South 8th Cross, Near Mpl Silicon Towers ...",13000,70000,950,Semi Furnished,3-5 years ,Family,18-Feb-2019
645,"2 BHK in Subhashree, Virugambakkam",Thangal Street Near A.k.r. Mahal,16000,100000,700,Semi Furnished,>10 years ,All,01-Mar-2019
646,"3 BHK in Chandrasekars Green Park, Kovilambakkam","Opposite Kamakshi Memorial Hospital, S.kolathur, Kovilambakkam, C ...",20000,100000,1210,Semi Furnished,Newly Constructed,Family,11-Feb-2019
647,"3 BHK in Bbcl Stanburry, Manapakkam","Old No: 56, New No: 79, Mgr Road, Manapakkam, Chennai, Tamil Nadu ...",55000,600000,2300,Full Furnished,Newly Constructed,All,Ready to Move
648,2 BHK in Poonamallee,"Independent House, Vaithiyar Nagar Near Grt Jewellers",7000,21000,750,UnFurnished,Newly Constructed,Family,Ready to Move
649,"2 BHK in MF Vruksha, Nanmangalam,Kovilambakkam","Mount - Medavakkam Main Road, Nanmangalam, Chennai",13000,50000,970,Semi Furnished,3-5 years ,Family,01-Apr-2019
650,"2 BHK in Apartment, Selaiyur","Pillayar Kovil Street, Secretariat Colony Near Pick And Pack Sup ...",9500,50000,1200,UnFurnished,1-3 years ,Family,Ready to Move
651,3 BHK in Kanathur,"Independent House, East Coast Rd, Near Mayajaal Resorts",45000,300000,2500,Semi Furnished,5-10 years ,Family,Ready to Move
652,"3 BHK in Ceebros Saptagiri Heights, Sholinganallur","Tnhb, Sholinganallur, Chennai, Tamil Nadu 600119, India",23000,80000,1516,Semi Furnished,Newly Constructed,Family,Ready to Move
653,"2 BHK in sai nivas, Nanmangalam","5 Th St.siddartha Nager, Near Antony Appartments Gateway. And Jj ...",8000,40000,650,Semi Furnished,Newly Constructed,Family,Ready to Move
654,1 BHK in Palavakkam,"Independent House, Periyar Salai, Krishna Nagar, Near M.s. Marria ...",12000,75000,600,UnFurnished,Newly Constructed,Family,Ready to Move
655,"3 BHK in Casagrand, Semmancheri","Casagrand Elan Rd, Semmancheri, Chennai, Tamil Nadu 600130, India ...",23000,138000,2000,Semi Furnished,Newly Constructed,All,Ready to Move
656,"3 BHK in sri sai kripa, Manapakkam",Ramachandra Colony Near Grows Supermarket,24000,144000,1250,Full Furnished,1-3 years ,All,Ready to Move
657,1 BHK in Tambaram,"Independent House, Kamatchi Nagar 1st Street, Tambaram Sanatorium ...",10000,30000,860,Semi Furnished,>10 years ,Family,Ready to Move
658,1 BHK in Neelankarai,"Standalone Building, Narayana Nagar Near Domino's Pizza",9000,90000,900,UnFurnished,Newly Constructed,All,Ready to Move
659,"2 BHK in Apartment, Anna Nagar","Near Punjab National Bank , 4th Main Road, Anna Nagar",20000,200000,700,UnFurnished,>10 years ,Family,Ready to Move
660,"4 BHK in Bollineni Hillside, Sithalapakkam","Perumbakkam Road, Nookampalayam, Arasankazhani, Sithalapakkam, Ch ...",25000,250000,2002,Semi Furnished,3-5 years ,All,Ready to Move
661,"3 BHK in Aksharas Flat, Perumbakkam","Perumbakkam Main Rd, Near Perumbakkam Advent Christian Church",16000,50000,1168,UnFurnished,Newly Constructed,Family,04-Mar-2019
662,2 BHK in Kulattur,"Standalone Building, Kovilambakkam Pmd Nagar Near Vijay Raja Thir ...",15000,150000,800,UnFurnished,3-5 years ,All,Ready to Move
663,"2 BHK in Sarah Villa, Selaiyur","Kasbapuram Main Rd, Near Mav Mumurthy Avenue/vaibhav's Apartment",6500,39000,900,UnFurnished,5-10 years ,Family,Ready to Move
664,3 BHK in Kulattur,"Standalone Building, Kovilambakkam Pmd Nagar Near Vijay Raja Thir ...",20000,200000,3700,UnFurnished,3-5 years ,All,Ready to Move
665,"2 BHK in Sudhirs Lotus, Sholinganallur",Nukampallyam Main Road Near Nest Ippo,12000,50000,741,Semi Furnished,Newly Constructed,Family,Ready to Move
666,1 BHK in Taramani,"Standalone Building, Kazhikundram Near Modern Bread Company",6000,35000,250,UnFurnished,>10 years ,All,Ready to Move
667,"2 BHK in Nambi Apartment, Porur",Vanagaram Near Sangamam Properties And Porur Toll Plaza,10000,100000,888,UnFurnished,5-10 years ,All,Ready to Move
668,1 BHK in Mugalivakkam,"Independent House, Cross Street Kamala Nagar, Near Deshmaa Garden ...",7000,25000,600,UnFurnished,Newly Constructed,Family,Ready to Move
669,"2 BHK in Rohini Homes, Velachery","Velachery Main Rd Indira Gandhi Nagar, Near Starbucks And Relianc ...",15000,90000,900,Semi Furnished,1-3 years ,Family,05-Mar-2019
670,1 RK in Medavakkam,"Standalone Building, Vaishnavi Nagar, Near Sangeetha Veg Restaura ...",4500,10000,250,UnFurnished,3-5 years ,Bachelors,Ready to Move
671,"2 BHK in bethel house, Choolaimedu",Gandhi Road Near Dav Matric Higher Secondary School,15000,100000,600,Semi Furnished,>10 years ,Family,Ready to Move
672,"1 RK in Standalone Buliding, Ponniammanmedu",Ganapathy Sava Nagar Near Chennai Rto (north),3500,30000,300,UnFurnished,5-10 years ,Bachelors,Ready to Move
673,2 BHK in Oragadam,"Independent House, Vedachalam Street, Near Ipc Church",5000,25000,600,UnFurnished,3-5 years ,All,Ready to Move
674,"1 BHK in Surya Flats, Thiruvanmiyur","Thiruvalluvar Nagar, Near Rto Thiruvanmiyur",10000,60000,400,UnFurnished,>10 years ,All,Ready to Move
675,2 BHK in Medavakkam,"Independent House, Veerabhadra Nagar 2nd St, Near Zigma Matricula ...",10000,50000,900,UnFurnished,1-3 years ,Family,Ready to Move
676,3 BHK in Medavakkam,"Independent House, Bhel Nagar, Bhuvaneshwari Maligai Kadai - Muth ...",35000,210000,2900,Semi Furnished,5-10 years ,Family,Ready to Move
677,"1 BHK in Cowl Bazar, Pozhichalur","Independent House, Cowl Bazar, Naer Bbcl Harshika",5000,50000,500,Semi Furnished,1-3 years ,Family,Ready to Move
678,"3 BHK in Golden Homestead, Chetpet","7th Avenue, Harrington Road, Chetpet, Chennai, Tamil Nadu, India. ...",150000,1500000,2531,Semi Furnished,1-3 years ,All,Ready to Move
679,"4+ BHK in Golden Altius, Anna Nagar","4th Avenue, Anna Nagar, Chennai-600040, Tamil Nadu, India.",100000,1000000,3030,Full Furnished,1-3 years ,All,Ready to Move
680,3 BHK in Mogappair West,"Standalone Building, Bharathi Salai Near Buhari",20000,200000,1300,Semi Furnished,5-10 years ,Family,Ready to Move
681,1 BHK in Adambakkam,"Independent House, Mahalakshmi Nagar East Extn 2nd Street Near G. ...",11500,60000,750,UnFurnished,5-10 years ,Family,Ready to Move
682,"1 BHK in jonata elite, Anakaputhur","Gouri Nagar, Opp Velco Theatre",-,350000,412,UnFurnished,Newly Constructed,Family,Ready to Move
683,2 BHK in Aminjikarai,"Independent House, Ayyavoo Colony Near M.r. Hospital",14000,75000,560,UnFurnished,>10 years ,All,Ready to Move
684,"2 BHK in stand, Anna Nagar","J Block, Vaigai Colony, Near Shri Krishnaswamy Matriculation Hig ...",20000,200000,900,Semi Furnished,Newly Constructed,All,28-Feb-2019
685,"1 BHK in DK Builders, Perumbakkam","Soumya Nagar, 21st St, Near Heritage Fresh",9500,50000,580,Semi Furnished,1-3 years ,All,Ready to Move
686,"2 BHK in Navin'S Silver Oak, Saidapet","Block No 4, Venkatapuram, Srinagar Colony, Saidapet, Chennai 6000 ...",22000,168000,800,Full Furnished,5-10 years ,Family,13-Feb-2019
687,3 BHK in Pammal,"Standalone Building, Gandhi Main Road Near Meenakshi Krishnan Pol ...",15000,90000,1300,UnFurnished,Newly Constructed,Family,Ready to Move
688,2 BHK in Korattur,"Standalone Building, Annai Nagar Rd, Behind Mohan Garden",12000,100000,1100,Semi Furnished,Newly Constructed,All,01-Mar-2019
689,2 BHK in Madipakkam,"Independent House, Balaiah Garden, Kumaran Street, Near Kings Mat ...",16000,75000,1000,UnFurnished,>10 years ,Family,Ready to Move
690,2 BHK in Kottivakkam,"Independent House, Venkatesapuram Near Kfc",10000,30000,900,UnFurnished,>10 years ,Bachelors,Ready to Move
691,"3 BHK in PUSHA VILAS, Anna Nagar East","6th Ave, Block K, Near Bougainvillea Park",22000,110000,1040,Semi Furnished,>10 years ,Family,15-Feb-2019
692,3 BHK in Iyyappanthangal,"Independent House, Vgn Nagar Main Rd Near Iyyappanthangal Bus Dep ...",10000,50000,1450,Semi Furnished,Newly Constructed,All,Ready to Move
693,"2 BHK in Asta Avm, Ottagapalayam","Avm Studios Complex, Arcot Rd, Ottagapalayam, Vadapalani",25000,150000,980,Semi Furnished,Newly Constructed,Family,15-Feb-2019
694,"2 BHK in Acon Athma, Madipakkam",Medavakkam Main Rd Near Adyar Ananda Bhavan,12000,40000,900,Semi Furnished,1-3 years ,Family,Ready to Move
695,1 BHK in Tambaram,"Standalone Building, Ramanar St, Anna Nagar, Near Nsn Memorial Sc ...",8000,48000,600,UnFurnished,5-10 years ,Family,Ready to Move
696,"3 BHK in Urban Tree Oxygen, Perumbakkam","Nookampalayam Road, Off Gandhi Nagar Society Main Road, Perumbakk ...",20000,120000,1548,Semi Furnished,Newly Constructed,All,Ready to Move
697,"3 BHK in Bbcl Ashraya, Thoraipakkam","Pillaiyar Koil Street, Thoraipakkam, Omr, Chennai , Tamil Nadu, I ...",25000,100000,1356,Semi Furnished,Newly Constructed,Family,15-Feb-2019
698,"2 BHK in Ganpath Apartment, West Mambalam",Arya Gowda Rd Near Shobana Kalyana Mandapam,20000,150000,1000,Semi Furnished,>10 years ,All,01-May-2019
699,1 BHK in Villivakkam,"Standalone Building, Sidco Nagar, 12th Street Near Villivakkamfir ...",4500,45000,500,UnFurnished,>10 years ,Company,Ready to Move
700,2 BHK in Kolathur,"Standalone Building, Vinayagapuram, Near Rc Prince Gardenia",9000,90000,890,Semi Furnished,3-5 years ,Family,Ready to Move
701,"2 BHK in Hakaria Apartment, George Town","Nattu Pillayar Kovil St, Near C5 Kotwal Chavadi Police Station",21000,200000,1000,Semi Furnished,1-3 years ,Family,01-Apr-2019
702,"2 BHK in A.R.Flats Anu Homes, Kodambakkam",Dr.subbaraya Nagar Near Dhanalakshmi Bank Atm & Petrol Bunk,15000,100000,735,Semi Furnished,>10 years ,All,Ready to Move
703,2 BHK in Madhavaram,"Independent House, Venugopal Nagar, Near Agarsen College",10000,100000,1000,Semi Furnished,Newly Constructed,All,Ready to Move
704,"1 BHK in Sekar Illam, Pattalam","Angalamman Koil 2nd Layout, Jainagar, Near Anjaneyar Koil",11000,50000,600,Semi Furnished,1-3 years ,Family,Ready to Move
705,1 BHK in Triplicane,"Standalone Building, Triplicane High Rd Near Ratna Cafe",11000,50000,450,UnFurnished,5-10 years ,All,Ready to Move
706,"2 BHK in Adityaa Apartment, Pallikaranai","Near Sree Balaji Dental College , Velachery Rd, Narayanapuram",13000,78000,900,Semi Furnished,5-10 years ,Family,01-Mar-2019
707,1 BHK in Raja Annamalai Puram,"Independent House, Adanjan St, Mandaveli, Near Arulmigu Sri Venka ...",12500,75000,500,UnFurnished,Newly Constructed,Family,Ready to Move
708,1 BHK in Velachery,"Independent House, First St Mgr Nagar, Venkateswara Nagar, Near P ...",9500,30000,510,Semi Furnished,3-5 years ,Bachelors,Ready to Move
709,1 BHK in Velachery,"Independent House, Sheshadripuram Main Rd, Near Sachidananda Ashr ...",10500,30000,710,Semi Furnished,5-10 years ,Bachelors,Ready to Move
710,"2 BHK in AVS Srinivas, Perungudi","Kurinji Nagar, 1st Cross Street,near Apollo Speciality Hospital",18000,54000,1200,Semi Furnished,3-5 years ,Family,Ready to Move
711,"2 BHK in Ancor bob classic, Kodambakkam","Rangarajapuram Main Rd Kg Ntr Heritage, Boopathy Nagar, Near Mor ...",26000,150000,940,Semi Furnished,5-10 years ,All,Ready to Move
712,3 BHK in Velachery,"Independent House, Barani Street, Bharathi Nagar, Near Tata Consu ...",-,2000000,1000,Semi Furnished,Newly Constructed,All,Ready to Move
713,"2 BHK in Akshaya Trisha, Pallikaranai",Akshaya Trisha,15000,100000,957,Semi Furnished,5-10 years ,Family,Ready to Move
714,1 BHK in Guindy,"Standalone Building, Race View Colony, Near Sri Bavani Muthu Mari ...",5000,20000,350,UnFurnished,1-3 years ,Bachelors,Ready to Move
715,2 BHK in Chintadripet,"Standalone Building, W Coovam River Rd Near Amma Unavagam",12500,100000,550,UnFurnished,>10 years ,Family,Ready to Move
716,"4 BHK in Ceebros Saptagiri Heights, Sholinganallur","Tnhb, Sholinganallur, Chennai, Tamil Nadu 600119, India",40000,150000,2733,Semi Furnished,Newly Constructed,Company,Ready to Move
717,"3 BHK in Arihant Housing Panache, Arumbakkam","Panchali Amman Koil Street, Near Arulmigu Sri Paanchali Amman Thi ...",36000,300000,1400,Semi Furnished,3-5 years ,All,Ready to Move
718,"2 BHK in Green House Apartments, Pallikaranai","Santhosh St, Manohar Nagar Extension, V.g.p Shanti Nagar, Pallika ...",10000,70000,900,Semi Furnished,3-5 years ,Family,Ready to Move
719,"2 BHK in Apartment, Velachery","Vgp Selva Nagar, Near V G P Selva Nagar Park And D.a.v. Public ...",18000,108000,1200,Semi Furnished,3-5 years ,Family,Ready to Move
720,"2 BHK in Apartment, Velachery","Vgp Selva Nagar, Near V G P Selva Nagar Park And D.a.v. Public ...",18000,108000,1200,Semi Furnished,3-5 years ,Family,Ready to Move
721,"2 BHK in Pammal Court Apartments, Purasaiwakkam","Raja Annamalai Rd, Near Msr Kalyana Mandapam",27000,270000,1297,Semi Furnished,>10 years ,Family,Ready to Move
722,"3 BHK in Purnima Enclave, Velachery","Velachery - Tambaram Main Rd, Near The Chennai Silks",21000,50000,1170,Semi Furnished,Newly Constructed,Bachelors,01-Mar-2019
723,1 RK in Moulivakkam,"Independent House, Kavery Street Near Arulmigu Sri Vempuli Nagatt ...",4500,30000,400,UnFurnished,>10 years ,All,Ready to Move
724,"1 RK in Tnhb Lig Flat, Sholinganallur","Sholinganallur, Chennai, Tamil Nadu, India",10000,1,598,Semi Furnished,1-3 years ,Bachelors,Ready to Move
725,1 BHK in Manali,"Independent House, Apparaju Street, Near Perunthalaivar Kamarajar ...",5000,25000,450,UnFurnished,5-10 years ,Family,Ready to Move
726,4 BHK in Padiyanallur,"Independent House, Pt Murthy Nagar, Near Government High School",15000,90000,2900,UnFurnished,>10 years ,Family,Ready to Move
727,1 BHK in West Saidapet,"Standalone Building, Kamaraj Street, Ethiraj Nagar,near R6 Kumara ...",8000,50000,350,UnFurnished,Newly Constructed,Family,Ready to Move
728,2 BHK in Triplicane,"Independent House, Irrusappa St Near Nkt National Girls Higher S ...",13000,100000,850,UnFurnished,>10 years ,Family,Ready to Move
729,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",25000,200000,1541,Semi Furnished,1-3 years ,Family,01-Mar-2019
730,1 BHK in Madhavaram,"Standalone Building, Nasilamani, Near Vruksha Vidhyaashram School ...",-,500000,600,Semi Furnished,1-3 years ,All,Ready to Move
731,"2 BHK in Nishanthini aishwarium, Puzhal",Parimalam Nagar Near Velammal Newgen School Surapet,10000,60000,850,UnFurnished,3-5 years ,Family,01-Mar-2019
732,"2 BHK in Darsana Apartments, Medavakkam",Perumbakkam Main Rd Near Perumbakkam Advent Christian Church,14000,60000,936,Semi Furnished,1-3 years ,All,Ready to Move
733,2 BHK in Adambakkam,"Independent House, Karikalan East 1st Cross St, Near Sp Hospital ...",15000,50000,850,Semi Furnished,5-10 years ,Family,Ready to Move
734,1 BHK in Madanandapuram,"Independent House, Lalitha Nagar,near Mitra Medicals",-,500000,1150,UnFurnished,>10 years ,Family,Ready to Move
735,1 BHK in Ramapuram,"Independent House, Tamil Nagar , Near Dlf It Park",8500,50000,670,UnFurnished,5-10 years ,Family,Ready to Move
736,2 BHK in T.Nagar,"Independent House, Madley Road, Near T.nagar Bus Stand,near Sss J ...",13000,80000,918,Semi Furnished,>10 years ,Family,Ready to Move
737,3 BHK in Neelankarai,"Independent House, Ranjith Nagar, Chinna Neelangarai Near Newgen ...",45000,270000,1900,Semi Furnished,>10 years ,Family,01-Mar-2019
738,1 BHK in Velachery,"Independent House, 70th Street, Tnhb Colony, Near St. Britto?s Ac ...",9000,90000,500,UnFurnished,3-5 years ,Family,Ready to Move
739,"2 BHK in Keerthi Lingas, Pallikaranai","Plot No: 82, 5th Cross Street, Kamakoti Nagar, Pallikaranai, Chen ...",-,1100000,986,Semi Furnished,5-10 years ,Family,Ready to Move
740,"2 BHK in Jains Anumita, Perungudi","W33 29, Panchayat Road, Perungudi, Chennai-600096, Tamil Nadu, I ...",16000,80000,900,Semi Furnished,5-10 years ,Family,01-Apr-2019
741,"3 BHK in colour Homes, New Perungalathur",Parvathy Nagar Near Euro Kids,13000,65000,1200,Semi Furnished,1-3 years ,Family,Ready to Move
742,2 BHK in Chromepet,"Independent House, Muthuswamy Nagar, Near Donbosco School And ...",7000,21000,900,UnFurnished,Newly Constructed,Family,Ready to Move
743,"2 BHK in Maple Leaf, Thirumullaivoyal","Cholambedu Main Road , Kulakarai St , Near Pachaiamman Temple",9500,95000,920,Semi Furnished,Newly Constructed,Family,Ready to Move
744,"3 BHK in Vruksham, Thiruvanmiyur","Plot No.1 & 2, Bharathi Nagar, 2nd Cross Street, Thiruvanmiyur , ...",34000,200000,1700,Semi Furnished,1-3 years ,All,Ready to Move
745,"1 BHK in GJ nivas, Kovur","Kundrathur Main Rd, Near Sri Krish International School Cbse",-,300000,450,UnFurnished,1-3 years ,Family,Ready to Move
746,"3 BHK in Krisnika apartments, Nungambakkam",Tirumurthy Nagar Near Vijay Tv (star Tv Network),45000,300000,1650,Semi Furnished,>10 years ,All,Ready to Move
747,1 BHK in Choolaimedu,"Standalone Building, Indira Gandhi 3rd St, Near Kun Hyundai, Arum ...",11000,110000,720,Semi Furnished,3-5 years ,Family,Ready to Move
748,"2 BHK in Silaja Apartment, Tambaram","Narmada Street, Balaji Nagar, Irumbuliyur Near Santhosh Vidyalaya ...",8000,24000,900,Semi Furnished,1-3 years ,All,Ready to Move
749,"2 BHK in Skr Sun Bright Garden, Kattupakkam","Pavendar Nagar, Sendurpuram Extension, Kattupakkam, Chennai, Tami ...",10000,100000,724,UnFurnished,Newly Constructed,Family,Ready to Move
750,1 BHK in Choolaimedu,"Independent House, Jayalakshmi Nagar Near Gill Nagar Park",7800,40000,350,UnFurnished,1-3 years ,All,Ready to Move
751,3 BHK in Royapettah,"Independent House, Sundareswarar Kovil Street Near E2 Police Stat ...",38000,400000,1800,UnFurnished,>10 years ,Family,Ready to Move
752,"3 BHK in Appaswamy Greensville, Sholinganallur","No.189, Old Mahabalipuram Road, Rajiv Gandhi Salai, Sholinganallu ...",31000,200000,1627,Semi Furnished,Under Construction,Family,Ready to Move
753,2 BHK in Perungalathur New,"Independent House, Amman Koil Street Near Swami Vivekananda Vidya ...",10000,40000,900,UnFurnished,5-10 years ,Family,Ready to Move
754,"3 BHK in Forest Woods, Nungambakkam","No.7/4, Thirumurthy Nagar, 6th Street, Nungambakkam, Chennai, Tam ...",75000,750000,1500,Semi Furnished,Newly Constructed,Family,Ready to Move
755,"3 BHK in Sahana Spring, Manapakkam","4th Cross Right,near Sumeru Bhavans And Perumal Bajanai Temple",18000,50000,1200,UnFurnished,1-3 years ,All,Ready to Move
756,2 BHK in Chintadripet,"Independent House, Swami Naiken Street, Near Chintadripet Sub Pos ...",13000,130000,600,UnFurnished,5-10 years ,Family,Ready to Move
757,2 BHK in Tiruvottiyur,"Standalone Building, Thiruvottiyur High Rd,tsr Nagar,724e,near Su ...",15000,150000,1200,Semi Furnished,Newly Constructed,All,Ready to Move
758,"2 BHK in Majestic Garden, Saligramam","Muthukumarappa Street, Arcot Rd, Saligramam, Chennai, Tamil Nadu ...",17500,150000,850,Semi Furnished,>10 years ,All,Ready to Move
759,"3 BHK in sree balaji flats, Porur","Allapakkam, Ganapathy Nagar, Near Rajiv School Of Excellence",14000,60000,1145,Semi Furnished,3-5 years ,Family,Ready to Move
760,"2 BHK in Indus Atlantis, Poonamallee","Lourdupuram, Poonamallee, Chennai, Tamil Nadu, India.",23000,100000,1080,Semi Furnished,3-5 years ,Family,08-Mar-2019
761,"3 BHK in Sidharth Upscale, Porur","Porur, Chennai, Tamil Nadu, India.",26000,260000,1532,Semi Furnished,Newly Constructed,Family,Ready to Move
762,1 RK in T Nagar,"Independent House, Sir Thyagaraya Road, Pondy Bazaar,near Post Of ...",5500,11000,200,Semi Furnished,>10 years ,Bachelors,01-Mar-2019
763,2 BHK in Medavakkam,"Independent House, Bhavani Amman Koil St Near Medavakkam Sub Pos ...",13000,75000,700,Semi Furnished,1-3 years ,Family,10-Feb-2019
764,"2 BHK in Malles A.V Gardens, Mugalivakkam","Malles A.v Gardens, 1st Cross St, Malles Av Garden, Mugalivakkam, ...",12000,100000,830,Semi Furnished,Newly Constructed,Family,03-Apr-2019
765,"2 BHK in Santoshi matha Apartments, Virugambakkam","Swarnambigai Nagar, Near Hera Hospital",11000,55000,850,UnFurnished,>10 years ,Family,Ready to Move
766,"2 BHK in maha flats, Alandur","Kannan Colony,5th Street, Near Hotel Saravana Bhavan",15000,150000,930,Semi Furnished,3-5 years ,Family,Ready to Move
767,"2 BHK in Jothi flats, Perambur","St Marys School St, Near Chevalier T Thomas Elizabeth College",13000,75000,1150,Semi Furnished,5-10 years ,Family,Ready to Move
768,2 BHK in Pozhichalur,"Standalone Building, Andal Nagar Near Venkatachalapathy Kalyana M ...",9000,30000,700,UnFurnished,3-5 years ,Family,Ready to Move
769,"2 BHK in Bay View Manor, Besant Nagar","Sixth Avenue, Elliot's Beach Road, Besant Nagar, Chennai",16000,96000,750,Semi Furnished,>10 years ,Family,Ready to Move
770,4 BHK in Kolathur,"Independent House, Vivekananda Main Road,near Indian Oil Petrol",40000,400000,4000,Full Furnished,1-3 years ,Family,Ready to Move
771,"2 BHK in Sri Vittal Rivera, Adambakkam","New Ngo Colony, Ist Main Road, Near Sri Devi Naga Muthumaari Amma ...",13000,80000,700,Semi Furnished,5-10 years ,Family,Ready to Move
772,1 BHK in K K Nagar,"Standalone Building, 5th Street,near Hotel Saravana Bhavan",8000,40000,500,UnFurnished,>10 years ,Family,Ready to Move
773,"2 BHK in Svastika Meenakshi Apartment, Mangadu","Sri Kamatchi Amman Nagar, Mangadu, Chennai, Tamil Nadu, India.",8000,50000,763,UnFurnished,5-10 years ,All,Ready to Move
774,"2 BHK in sivam sakthi, Adambakkam","Ramakrishna Nagar,2nd Main Road, Near Sai Brindavan Apartment And ...",15000,100000,893,Semi Furnished,3-5 years ,Family,Ready to Move
775,"3 BHK in Gokulam, Kattupakkam","Royal Garden Main Road, Near Samayapura Mari Amman Temple",15000,90000,1100,Semi Furnished,3-5 years ,All,Ready to Move
776,"3 BHK in Landmark Tivoli, Mogappair","Justice Rathnavel Pandian Road, Mogappair, Chennai, Tamil Nadu, I ...",28000,280000,1580,Semi Furnished,3-5 years ,Family,Ready to Move
777,1 BHK in Jafferkhanpet,"Independent House, School Street, 5th Cross, Near Indian Bank And ...",5000,20000,400,UnFurnished,1-3 years ,All,Ready to Move
778,"2 BHK in Bollineni Hillside, Sithalapakkam","Perumbakkam Road, Nookampalayam, Arasankazhani, Sithalapakkam, Ch ...",12000,72000,1000,UnFurnished,3-5 years ,Family,Ready to Move
779,2 BHK in Ekkatuthangal,"Standalone Building, Lazer Street, Near Mnr Grand",15000,60000,900,Semi Furnished,5-10 years ,All,15-Feb-2019
780,2 BHK in Moulivakkam,"Independent House, Sh 113, Shanmuga Nagar, Near Narayana E-techno ...",11000,110000,1150,Semi Furnished,5-10 years ,Family,Ready to Move
781,1 RK in perungudi,"Independent House, Seevaram 3rd Street,near Sspdl Matrix",3500,20000,200,UnFurnished,>10 years ,Bachelors,28-Feb-2019
782,"2 BHK in Venkateswar Flat, Alandur",Eswaran Koil Street Near Alandur Metro Station And Cafe Coffee Da ...,13000,65000,750,UnFurnished,>10 years ,Family,Ready to Move
783,"2 BHK in OM Sai Building, Iyyappanthangal,","Krishna Nagar, 4rd Cross Street Near T 15 Srmc Police Station",12000,50000,670,Semi Furnished,3-5 years ,All,Ready to Move
784,"1 BHK in Emami Tejomaya, Old Mahabalipuram Road","1/4a,rajiv Gandhi Road, Omr,near Toll Gate, Egatoor, Chennai, Tam ...",12500,70000,498,Semi Furnished,Newly Constructed,All,18-Mar-2019
785,"2 BHK in Kochar Panchsheel, Ambattur","129, Chennai Tiruvallur High Road, Periyar Nagar, Mangalapuram, T ...",19000,100000,1195,Semi Furnished,Newly Constructed,Family,01-Apr-2019
786,"4+ BHK in Shri Janani homes, Navallur","Old Mahabalipuram Rd, Near Ags Cinemas",120000,1000000,4000,Full Furnished,1-3 years ,All,Ready to Move
787,"3 BHK in Prestige Bella Vista, Porur","No.1, Mount Poonamalle High Rd, Pushpa Nagar, Iyyappanthangal, Ch ...",36000,200000,1825,Semi Furnished,1-3 years ,Family,01-Apr-2019
788,"2 BHK in Anusha Garden, Madhanandapuram","Mugalivakkam Main Rd, Near Hotel Gopal",10500,50000,900,Semi Furnished,3-5 years ,Family,Ready to Move
789,2 BHK in Perungudi,"Independent House, Ambedkar Nagar, Near The Tamil Nadu Dr.ambedka ...",12500,60000,660,UnFurnished,Newly Constructed,Family,Ready to Move
790,"2 BHK in LK Aditya, Kalikundram",Near Tidel Park,-,1500000,941,Semi Furnished,3-5 years ,Family,Ready to Move
791,"3 BHK in Home Blocs Blossoms, Madipakkam","Ram Nagar South 18th Main Road, Ramnagar South",20000,150000,1400,Full Furnished,3-5 years ,Family,Ready to Move
792,"1 BHK in maha apartments, Velachery","Bhuvaneshwari Nagar, Near Chennai Silks",18500,45000,650,Full Furnished,5-10 years ,All,Ready to Move
793,"2 BHK in Horizon Apartments, Thiruvottiyur",Rajakadai Near Rohit Hospital,10000,100000,700,UnFurnished,>10 years ,Family,Ready to Move
794,"3 BHK in Dlf Commanders Court, Egmore","Ethiraj Salai, Egmore, Chennai-600008, Tamil Nadu, India.",65000,700000,1696,Full Furnished,1-3 years ,Company,Ready to Move
795,1 RK in Abhiramapuram,"Independent House, Demonte Colony Near Petrol Pump - Balakrishna ...",6500,50000,250,UnFurnished,>10 years ,Bachelors,Ready to Move
796,"3 BHK in SSM Nagar Society, New Perungalathur","Ssm Nagar, Alapakkam Rd, Near Srimathi Sundaravalli Memorial Scho ...",14000,75000,1920,Semi Furnished,Newly Constructed,All,Ready to Move
797,1 RK in Kodambakkam,"Standalone Building, Near Sv Bone And Joint Hospital, Susho Samra ...",7000,35000,350,Semi Furnished,5-10 years ,All,Ready to Move
798,"2 BHK in Korattur,","Independent House, Brahmin St Periyar Nagar, Near Marriamman Temp ...",8000,50000,600,Semi Furnished,5-10 years ,Family,Ready to Move
799,2 BHK in Velachery,"Independent House, 5th Main Rd, Ags Colony, Near Ags Colony Bus S ...",16000,65000,900,UnFurnished,>10 years ,Bachelors,Ready to Move
800,"4+ BHK in Lazarus Enclave, Choolai",Avadhanam Papier Rd Near Leo Bakery - Tea Stall,75000,750000,3018,UnFurnished,5-10 years ,All,Ready to Move
801,"3 BHK in Sri Guhan Enclave, Kundrathur","11th West Street, Mehta Nagar, Kundrathur, Chennai, Tamil Nadu 60 ...",12000,25000,1188,Semi Furnished,1-3 years ,Family,Ready to Move
802,"2 BHK in Apartment, Kilpauk",New Mandapam Rd Near Dr. Regina Nursing Home And Bethel School,-,700000,650,UnFurnished,5-10 years ,Family,10-Feb-2019
803,"3 BHK in Jasmine Court, Poonamallee","Mount Poonamalle High Rd, Muruga Nagar, Poonamallee, Chennai, Tam ...",20000,200000,1529,Semi Furnished,5-10 years ,All,Ready to Move
